video_id,episode_idx,lift_start_frame,lift_end_frame,move_start_frame,move_end_frame,lower_start_frame,lower_end_frame,start_class4,end_class4,use_for_train,Unnamed: 11,Unnamed: 12
6,10,4840,4919,4920,4977,4978,5022,3,1,1,,
6,11,5336,5460,5461,5629,5630,5705,3,3,1,,
6,12,6051,6130,6131,6199,6200,6277,3,2,1,,
6,13,6550,6595,6596,6654,6655,6691,2,0,1,,
6,14,6853,6899,6900,6950,6951,6995,2,1,1,,
6,15,7258,7306,7307,7355,7356,7414,2,3,1,,
6,16,7465,7503,7504,7546,7547,7606,2,2,1,,
7,1,18,40,41,105,106,131,0,0,1,138.0,224.0
7,2,319,347,348,410,411,445,0,1,1,456.0,508.0
7,3,801,829,830,896,897,947,0,3,1,1316.0,1400.0
7,4,1148,1179,1180,1238,1239,1274,0,2,1,2794.0,2964.0
7,5,1670,1710,1711,1758,1759,1790,1,0,1,2966.0,3160.0
7,6,1979,2015,2016,2056,2057,2098,1,1,1,4568.0,4710.0
7,7,2219,2244,2245,2292,2293,2349,1,3,1,4864.0,4928.0
7,8,2658,2692,2693,2744,2745,2786,1,2,1,,
7,9,3245,3292,3293,3352,3353,3379,3,0,1,,
7,10,3651,3698,3699,3732,3733,3768,3,1,1,,
7,11,4112,4159,4160,4215,4216,4262,3,3,1,,
7,12,4417,4466,4467,4515,4516,4555,3,2,1,,
7,13,4748,4782,4783,4835,4836,4862,2,0,1,,
7,14,5127,5165,5166,5211,5212,5247,2,1,1,,
7,15,5570,5608,5609,5661,5662,5711,2,3,1,,
7,16,5764,5807,5808,5859,5860,5899,2,2,1,,
8,1,25,59,60,113,114,146,0,0,1,,
8,2,250,285,286,330,331,355,0,1,1,,
8,3,943,965,966,1016,1017,1051,0,3,1,,
8,4,1793,1816,1817,1863,1864,1898,0,2,1,,
8,5,2153,2192,2193,2230,2231,2252,1,0,1,,
8,6,2402,2438,2439,2463,2464,2493,1,1,1,,
8,7,2583,2624,2625,2683,2684,2729,1,3,1,,
8,8,3760,3794,3795,3839,3840,3875,1,2,1,,
8,9,4192,4236,4237,4271,4272,4298,3,0,1,,
8,10,4541,4577,4578,4606,4607,4636,3,1,1,,
8,11,5590,5630,5631,5701,5702,5735,3,3,1,,
8,12,5937,5970,5971,6010,6011,6044,3,2,1,,
8,13,6309,6338,6339,6396,6397,6418,2,0,1,,
8,14,6611,6636,6637,6684,6685,6710,2,1,1,,
8,15,6926,6960,6961,7003,7004,7031,2,3,1,,
8,16,7182,7209,7210,7265,7266,7296,2,2,1,,
9,1,155,191,192,273,274,305,0,0,1,,
9,2,479,508,509,570,571,611,0,1,1,,
9,3,996,1020,1021,1071,1072,1117,0,3,1,,
9,4,1380,1406,1407,1464,1465,1511,0,2,1,,
9,5,1974,2002,2003,2050,2051,2085,1,0,1,,
9,6,2290,2327,2328,2376,2377,2407,1,1,1,,
9,7,2492,2522,2523,2569,2570,2622,1,3,1,,
9,8,2835,2871,2872,2918,2919,2955,1,2,1,,
9,9,3437,3474,3475,3542,3543,3570,3,0,1,,
9,10,3750,3800,3801,3848,3849,3910,3,1,1,,
9,11,4130,4180,4181,4233,4234,4288,3,3,1,,
9,12,4410,4457,4458,4517,4518,4558,3,2,1,,
9,13,4749,4788,4789,4836,4837,4868,2,0,1,,
9,14,5122,5166,5167,5210,5211,5245,2,1,1,,
9,15,5478,5511,5512,5557,5558,5605,2,3,1,,
9,16,5704,5738,5739,5793,5794,5837,2,2,1,,
10,1,37,67,68,129,130,157,0,0,1,,
10,2,230,255,256,316,317,346,0,1,1,,
10,3,835,867,868,919,920,968,0,3,1,,
10,4,1242,1282,1283,1330,1331,1395,0,2,1,,
10,5,1767,1824,1825,1892,1893,1918,1,0,1,,
10,6,2122,2147,2148,2189,2190,2219,1,1,1,,
10,7,2313,2390,2391,2453,2454,2495,1,3,1,,
10,8,2768,2792,2793,2840,2841,2893,1,2,1,,
10,9,4039,4078,4079,4212,4213,4243,3,1,1,,
10,10,4607,4651,4652,4704,4705,4750,3,2,1,,
10,11,5051,5088,5089,5149,5150,5195,3,3,1,,
10,12,5391,5426,5427,5498,5499,5530,2,0,1,,
10,13,5825,5853,5854,5901,5902,5932,2,1,1,,
10,14,6240,6273,6274,6316,6317,6371,2,3,1,,
10,15,6505,6541,6542,6593,6594,6628,2,2,1,,
11,1,139,175,176,253,254,283,0,0,1,,
11,2,365,401,402,467,468,496,0,1,1,,
11,3,726,784,785,849,850,892,0,3,1,,
11,4,1108,1148,1149,1219,1220,1270,0,2,1,,
11,5,1760,1790,1791,1849,1850,1887,1,0,1,,
11,6,2163,2198,2199,2247,2248,2280,1,1,1,,
11,7,2383,2420,2421,2494,2495,2545,1,3,1,,
11,8,2945,2974,2975,3040,3041,3088,1,2,1,,
11,9,3502,3543,3544,3620,3621,3651,3,0,1,,
11,10,3928,3972,3973,4054,4055,4088,3,1,1,,
11,11,4431,4471,4472,4553,4554,4623,3,3,1,,
11,12,4755,4790,4791,4871,4872,4928,3,2,1,,
11,13,5353,5395,5396,5479,5480,5516,2,0,1,,
11,14,5720,5763,5764,5833,5834,5868,2,1,1,,
11,15,6151,6195,6196,6277,6278,6340,2,3,1,,
11,16,6471,6517,6518,6591,6592,6639,2,2,1,,
12,1,35,81,82,161,162,198,0,0,1,,
12,2,275,306,307,370,371,415,0,1,1,,
12,3,838,873,874,938,939,1015,0,3,1,,
12,4,1364,1396,1397,1458,1459,1519,0,2,1,,
12,5,2200,2233,2234,2292,2293,2320,1,0,1,,
12,6,2581,2617,2618,2656,2657,2701,1,1,1,,
12,7,2824,2853,2854,2925,2926,2992,1,3,1,,
12,8,3343,3385,3386,3438,3439,3485,1,2,1,,
12,9,3916,3983,3984,4043,4044,4091,3,0,1,,
12,10,4343,4400,4401,4502,4503,4534,3,1,1,,
12,11,4897,4975,4976,5036,5037,5095,3,3,1,,
12,12,5330,5372,5373,5427,5428,5468,3,2,1,,
12,13,5700,5737,5738,5809,5810,5842,2,0,1,,
12,14,6245,6285,6286,6332,6333,6365,2,1,1,,
12,15,7090,7138,7139,7197,7198,7240,2,2,1,,
12,16,7555,7598,7599,7661,7662,7687,2,3,1,,
13,1,24,52,53,114,115,164,0,0,1,,
13,2,201,234,235,289,290,333,0,1,1,,
13,3,584,625,526,685,686,737,0,3,1,,
13,4,940,993,994,1047,1048,1095,0,2,1,,
13,5,1395,1420,1421,1477,1478,1502,1,0,1,,
13,6,1728,1770,1771,1808,1809,1840,1,1,1,,
13,7,1943,1982,1983,2022,2023,2075,1,3,1,,
13,8,2296,2323,2324,2379,2380,2425,1,2,1,,
13,9,2627,2667,2668,2730,2731,2758,3,0,1,,
13,10,2934,2972,2973,3027,3028,3062,3,1,1,,
13,11,3305,3345,3346,3392,3393,3440,3,3,1,,
13,12,3562,3595,3596,3645,3646,3697,3,2,1,,
13,13,3909,3945,3946,3995,3996,4025,2,0,1,,
13,14,4177,4232,4233,4275,4276,4315,2,1,1,,
13,15,4504,4571,4572,4623,4624,4663,2,3,1,,
13,16,4789,4831,4832,4876,4877,4926,2,2,1,,
14,1,28,57,58,117,118,146,0,0,1,,
14,2,495,517,518,565,566,605,0,1,1,,
14,3,840,897,898,974,975,1038,0,3,1,,
14,4,1404,1432,1433,1466,1467,1527,0,2,1,,
14,5,1948,1975,1976,2019,2020,2050,1,0,1,,
14,6,2306,2333,2334,2362,2363,2399,1,1,1,,
14,7,2564,2590,2591,2619,2620,2674,1,3,1,,
14,8,2961,2990,2991,3020,3021,3083,1,2,1,,
14,9,3447,3499,3500,3561,3562,3580,3,0,1,,
14,10,3831,3879,3880,3920,3921,3953,3,1,1,,
14,11,4560,4608,4641,4684,4685,4736,3,3,1,,
14,12,5004,5049,5050,5104,5105,5176,3,2,1,,
14,13,5451,5507,5508,5565,5566,5593,2,0,1,,
14,14,5889,5935,5936,5980,5981,6019,2,1,1,,
14,15,6386,6439,6440,6490,6491,6538,2,3,1,,
14,16,6655,6695,6696,6754,6755,6809,2,2,1,,
15,1,15,50,51,116,117,148,0,0,1,,
15,2,225,263,264,323,324,355,0,1,1,,
15,3,541,567,568,622,623,672,0,3,1,,
15,4,902,933,934,964,975,1014,0,2,1,,
15,5,1274,1308,1309,1368,1369,1404,1,0,1,,
15,6,1603,1630,1631,1668,1669,1707,1,1,1,,
15,7,1763,1795,1796,1831,1832,1884,1,3,1,,
15,8,2091,2129,2130,2176,2177,2215,1,2,1,,
15,9,2455,2496,2497,2573,2574,2601,3,0,1,,
15,10,2814,2849,2850,2899,2900,2930,3,1,1,,
15,11,3156,3195,3196,3239,3240,3287,3,3,1,,
15,12,3379,3415,3416,3467,3468,3503,3,2,1,,
15,13,3658,3702,3703,3768,3769,3797,2,0,1,,
15,14,4052,4096,4097,4143,4144,4176,2,1,1,,
15,15,4484,4522,4523,4583,4584,4629,2,3,1,,
15,16,4697,4737,4738,4788,4789,4834,2,2,1,,
16,1,150,173,174,257,258,289,0,0,1,,
16,2,337,361,362,418,419,452,0,1,1,,
16,3,681,722,723,805,806,862,0,3,1,,
16,4,1102,1137,1138,1181,1182,1220,0,2,1,,
16,5,1442,1471,1472,1529,1530,1565,1,0,1,,
16,6,1730,1752,1753,1795,1796,1840,1,1,1,,
16,7,1935,1974,1975,2029,2030,2084,1,3,1,,
16,8,2344,2368,2369,2415,2416,2452,1,2,1,,
16,9,2759,2796,2797,2871,2872,2910,3,0,1,,
16,10,3079,3115,3116,3188,3189,3224,3,1,1,,
16,11,3463,3500,3501,3578,3579,3623,3,3,1,,
16,12,3727,3760,3761,3815,3816,3857,3,2,1,,
16,13,4369,4395,4396,4459,4460,4490,2,0,1,,
16,14,4667,4694,4695,4749,4750,4882,2,1,1,,
16,15,5120,5152,5153,5215,5216,5259,2,3,1,,
16,16,5337,5373,5374,5433,5434,5482,2,2,1,,
17,1,93,175,176,241,242,272,0,0,1,,
17,2,370,394,395,450,451,479,0,1,1,,
17,3,909,948,949,1014,1015,1098,0,3,1,,
17,4,1493,1553,1554,1619,1620,1671,0,2,1,,
17,5,2151,2199,2200,2270,2271,2301,1,0,1,,
17,6,2551,2584,2585,2636,2637,2682,1,1,1,,
17,7,2789,2831,2832,2886,2887,2940,1,3,1,,
17,8,3277,3323,3324,3381,3382,3434,1,2,1,,
17,9,3784,3844,3845,3915,3916,3965,3,0,1,,
17,10,4180,4222,4223,4281,4282,4323,3,1,1,,
17,11,4616,4665,4666,4722,4723,4773,3,3,1,,
17,12,4905,4940,4941,5004,5005,5043,3,2,1,,
17,13,5307,5348,5349,5414,5415,5444,2,0,1,,
17,14,5709,5757,5758,5808,5809,5868,2,1,1,,
17,15,6171,6220,6221,6294,6295,6339,2,3,1,,
17,16,6465,6513,6514,6566,6567,6607,2,2,1,,
18,1,69,96,97,146,147,178,0,0,1,,
18,2,252,275,276,315,316,354,0,1,1,,
18,3,821,849,850,892,893,947,0,3,1,,
18,4,1151,1175,1176,1218,1219,1264,0,2,1,,
18,5,1714,1764,1765,1803,1804,1840,1,0,1,,
18,6,2010,2038,2039,2067,2068,2105,1,1,1,,
18,7,2460,2493,2494,2531,2532,2584,1,3,1,,
18,8,2821,2865,2866,2901,2902,2941,1,2,1,,
18,9,3227,3267,3268,3323,3324,3348,3,0,1,,
18,10,3670,3708,3709,3759,3760,3790,3,1,1,,
18,11,4035,4083,4084,4134,4135,4175,3,3,1,,
18,12,4312,4364,4365,4417,4418,4462,3,2,1,,
18,13,4690,4728,4729,4780,4781,4807,2,0,1,,
18,14,5005,5046,5047,5087,5088,5123,2,1,1,,
18,15,5319,5364,5365,5406,5407,5448,2,3,1,,
18,16,5549,5591,5592,5635,5636,5678,2,2,1,,
19,1,60,83,84,208,209,241,0,0,1,,
19,2,279,306,307,438,439,475,0,1,1,,
19,3,763,806,807,912,913,956,0,3,1,,
19,4,1250,1291,1292,1368,1369,1411,0,2,1,,
19,5,1755,1794,1795,1856,1857,1885,1,0,1,,
19,6,2073,2103,2104,2157,2158,2188,1,1,1,,
19,7,2264,2288,2289,2358,2359,2403,1,3,1,,
19,8,2733,2761,2762,2821,2822,2871,1,2,1,,
19,9,3155,3215,3216,3282,3283,3324,3,0,1,,
19,10,3745,3786,3787,3877,3878,3907,3,1,1,,
19,11,4190,4237,4238,4284,4285,4334,3,3,1,,
19,12,4480,4517,4518,4598,4599,4643,3,2,1,,
19,13,4918,4962,4963,5038,5039,5092,2,0,1,,
19,14,5265,5303,5304,5371,5372,5397,2,1,1,,
19,15,5664,5693,5694,5772,5773,5810,2,3,1,,
19,16,5938,5969,5970,6050,6051,6102,2,2,1,,
20,1,89,141,142,213,214,250,0,0,1,,
20,2,282,337,338,418,419,457,0,1,1,,
20,3,636,712,713,776,777,831,0,3,1,,
20,4,1104,1141,1142,1202,1203,1259,0,2,1,,
20,5,1638,1667,1668,1729,1730,1755,1,0,1,,
20,6,1923,1952,1953,1999,2000,2030,1,1,1,,
20,7,2095,2139,2140,2197,2198,2265,1,3,1,,
20,8,2438,2482,2483,2544,2545,2593,1,2,1,,
20,9,3065,3111,3112,3214,3215,3242,3,0,1,,
20,10,3458,3500,3501,3559,3560,3585,3,1,1,,
20,11,3897,3941,3942,4004,4005,4047,3,3,1,,
20,12,4198,4238,4239,4306,4307,4346,3,2,1,,
20,13,4572,4617,4618,4682,4683,4708,2,0,1,,
20,14,4874,4911,4912,4965,4966,4996,2,1,1,,
20,15,5208,5254,5255,5305,5306,5340,2,2,1,,
20,16,5395,5474,5475,5528,5529,5567,2,3,1,,
21,1,9,38,39,115,116,157,0,0,1,,
21,2,205,242,243,308,309,369,0,1,1,,
21,3,649,686,687,759,760,840,0,3,1,,
21,4,1132,1157,1158,1235,1236,1307,0,2,1,,
21,5,1620,1660,1661,1737,1738,1779,1,0,1,,
21,6,2015,2045,2046,2099,2100,2144,1,1,1,,
21,7,2218,2260,2261,2326,2327,2397,1,3,1,,
21,8,3160,3253,3254,3319,3320,3380,1,2,1,,
21,9,4310,4384,4385,4460,6661,4500,3,0,1,,
21,10,4743,4795,4796,4860,4861,4902,3,1,1,,
21,11,5223,5321,5322,5394,5395,5465,3,3,1,,
21,12,5580,5666,5667,5726,5727,5818,3,2,1,,
21,13,6045,6107,6108,6177,6178,6215,2,0,1,,
21,14,6439,6493,6494,6565,6566,6610,2,1,1,,
21,15,6980,7041,7042,7109,7110,7165,2,2,1,,
21,16,7345,7393,7394,7464,7465,7544,2,3,1,,
23,1,159,203,204,247,248,288,0,0,1,,
23,2,354,395,396,440,441,480,0,1,1,,
23,3,666,700,701,745,746,806,0,3,1,,
23,4,1031,1064,1063,1107,1108,1153,0,2,1,,
23,5,1608,1643,1644,1687,1688,1729,1,0,1,,
23,6,1923,1958,1959,1990,1991,2030,1,1,1,,
23,7,2109,2145,2146,2179,2180,2237,1,3,1,,
23,8,2506,2537,2538,2568,2569,2616,1,2,1,,
23,9,2947,2997,2998,3035,3036,3071,3,0,1,,
23,10,3245,3291,3292,3334,3335,3374,3,1,1,,
23,11,3973,4032,4033,4079,4080,4146,3,3,1,,
23,12,4295,4347,4348,4388,4389,4442,3,2,1,,
23,13,4724,4767,4768,4817,4818,4858,2,0,1,,
23,14,5003,5050,5051,5087,5088,5129,2,1,1,,
23,15,5359,5403,5404,5445,5446,5510,2,2,1,,
24,1,15,66,67,140,141,180,0,0,1,,
24,2,1331,1380,1381,1434,1435,1469,0,1,1,,
24,3,2056,2096,2097,2151,2152,2208,0,3,1,,
24,4,2450,2486,2487,2536,2537,2584,0,2,1,,
24,5,3070,3114,3115,3169,3170,3201,1,0,1,,
24,6,3461,3493,3494,3532,3533,3568,1,1,1,,
24,7,3683,3723,3724,3769,3770,3828,1,3,1,,
24,8,4183,4210,4211,4250,4251,4297,1,2,1,,
24,9,4657,4709,4710,4763,4764,4796,3,0,1,,
24,10,5003,5041,5042,5079,5080,5112,3,1,1,,
24,11,5515,5554,5555,5595,5596,5638,3,3,1,,
24,12,5761,5802,5803,5839,5840,5884,3,2,1,,
24,13,6170,6218,6219,6257,6258,6288,2,0,1,,
24,14,6535,6586,6587,6624,6625,6657,2,1,1,,
24,15,6894,6938,6939,6968,6969,7001,2,2,1,,
24,16,7115,7159,7160,7198,7199,7234,2,3,1,,
25,1,60,89,90,140,141,193,0,0,1,,
25,2,223,257,258,278,279,315,0,1,1,,
25,3,425,457,458,486,487,558,0,3,1,,
25,4,663,689,690,725,726,810,0,3,1,,
25,5,1307,1335,1336,1367,1368,1396,1,0,1,,
25,6,1509,1531,1532,1554,1555,1591,1,1,1,,
25,7,1812,1831,1832,1858,1859,1930,1,3,1,,
25,8,2076,2110,2111,2141,2142,2210,1,3,1,,
25,9,2786,2815,2816,2845,2846,2881,3,0,1,,
25,10,3009,3029,3030,3052,3053,3096,3,1,1,,
25,11,3206,3245,3246,3274,3275,3324,3,3,1,,
25,12,3352,3415,3416,3453,3454,3497,3,2,1,,
25,13,3658,3681,3682,3703,3704,3744,2,0,1,,
25,14,3870,3908,3909,3937,3938,3977,2,1,1,,
25,15,4080,4133,4134,4176,4178,4226,2,2,1,,
25,16,4238,4313,4314,4341,4342,4390,2,3,1,,
26,1,70,145,146,215,216,250,0,0,1,,
26,2,334,379,392,444,445,485,0,1,1,,
26,3,827,919,920,982,983,1045,0,3,1,,
26,4,1932,1985,1986,2044,2045,2111,0,2,1,,
26,5,2424,2459,2460,2533,2534,2570,1,0,1,,
26,6,2850,2893,2894,2937,2938,2985,1,1,1,,
26,7,3135,3188,3189,3239,3240,3284,1,3,1,,
26,8,3573,3621,3622,3673,3674,3729,1,2,1,,
26,9,4029,4074,4075,4151,4152,4187,3,0,1,,
26,10,4599,4676,4677,4754,4755,4802,3,1,1,,
26,11,5338,5399,5400,5453,5454,5507,3,3,1,,
26,12,5684,5740,5741,5800,5801,5862,3,2,1,,
26,13,6056,6108,6109,6173,6174,6206,2,0,1,,
26,14,6535,6582,6583,6646,6647,6690,2,1,1,,
26,15,7143,7193,7194,7253,7254,7302,2,3,1,,
26,16,7420,7466,7467,7520,7521,7574,2,2,1,,
27,1,9,35,36,83,84,120,0,0,1,,
27,2,158,193,194,245,246,285,0,1,1,,
27,3,430,498,499,543,544,613,0,3,1,,
27,4,1011,1061,1062,1100,1101,1204,0,2,1,,
27,5,1523,1568,1569,1619,1620,1653,1,0,1,,
27,6,1810,1837,1838,1872,1873,1915,1,1,1,,
27,7,1943,1978,1979,2018,2019,2100,1,3,1,,
27,8,2250,2302,2303,2344,2345,2405,1,2,1,,
27,9,2753,2806,2807,2858,2859,2888,3,0,1,,
27,10,3024,3057,3058,3109,3110,3148,3,1,1,,
27,11,3290,3341,3342,3391,3392,3476,3,3,1,,
27,12,3590,3640,3641,3680,3681,3735,3,2,1,,
27,13,3977,4032,4033,4078,4079,4107,2,0,1,,
27,14,4288,4342,4343,4388,4389,4426,2,1,1,,
27,15,4576,4630,4631,4685,4686,4754,2,2,1,,
27,16,5020,5042,5043,5079,5080,5136,2,3,1,,
28,1,140,182,183,280,281,325,0,0,1,,
28,2,366,422,423,515,516,578,0,1,1,,
28,3,1027,1076,1077,1177,1178,1257,0,3,1,,
28,4,1462,1503,1503,1577,1578,1646,0,2,1,,
28,5,2092,2138,2139,2206,2207,2246,1,0,1,,
28,6,2450,2490,2491,2550,2551,2589,1,1,1,,
28,7,2648,2690,2691,2755,2756,2833,1,3,1,,
28,8,3075,3114,3115,3166,3167,3244,1,2,1,,
28,9,3542,3628,3629,3706,3707,3745,3,0,1,,
28,10,4002,4066,4067,4118,4119,4163,3,1,1,,
28,11,4437,4508,4509,4571,4572,4646,3,3,1,,
28,12,4730,4800,4801,4848,4849,4923,3,2,1,,
28,13,5090,5162,5163,5233,5234,5287,2,0,1,,
28,14,5443,5511,5512,5563,5564,5618,2,1,1,,
28,15,5806,5850,5851,5908,5909,6000,2,2,1,,
28,16,6088,6155,6156,6220,6221,6304,2,3,1,,
29,1,138,180,181,255,256,300,0,0,1,,
29,2,348,382,383,434,435,480,0,1,1,,
29,3,580,625,626,688,689,770,0,3,1,,
29,4,924,955,956,1006,1007,1053,0,2,1,,
29,5,1300,1332,1333,1376,1378,1424,1,0,1,,
29,7,2110,2135,2136,2173,2174,2216,1,2,1,,
29,8,2746,2800,2801,2839,2840,2870,3,0,1,,
29,9,2988,3029,3030,3060,3061,3092,3,1,1,,
29,10,3434,3474,3475,3521,3522,3570,3,3,1,,
29,11,3666,3700,3701,3733,3734,3783,3,2,1,,
29,12,4415,4458,4459,4495,4496,4528,2,0,1,,
29,13,4640,4680,4681,4720,4721,4751,2,1,1,,
29,14,4874,4906,4907,4945,4946,4978,2,2,1,,
22,1,156,195,196,271,272,311,0,0,1,,
22,2,788,823,824,884,880,905,0,0,1,,
22,3,1770,1810,1811,1848,1849,1920,0,3,1,,
22,4,2478,2536,2537,2591,2592,2634,1,0,1,,
22,5,2966,3009,3010,3065,3066,3118,1,3,1,,
22,6,3666,3713,3714,3787,3788,3833,3,0,1,,
22,7,4029,4068,4069,4113,4114,4178,3,1,1,,
22,8,4420,4465,4466,4515,4516,4564,3,3,1,,
22,9,4640,4684,4685,4735,4746,4782,3,2,1,,
