video_id,lift_start_frame,lift_end_frame,class_id
19,763,806,1
19,1250,1291,1
19,1755,1794,2
19,2073,2103,2
19,2264,2288,2
19,2733,2761,2
19,3155,3215,4
19,3745,3786,4
19,4190,4237,4
19,4480,4517,4
19,4918,4962,3
19,5265,5303,3
19,5664,5693,3
19,5938,5969,3
20,89,141,1
20,282,337,1
20,636,712,1
20,1104,1141,1
20,1638,1667,2
20,1923,1952,2
20,2095,2139,2
20,2438,2482,2
20,3065,3111,4
20,3458,3500,4
20,3897,3941,4
20,4198,4238,4
20,4572,4617,3
20,4874,4911,3
20,5208,5254,3
20,5395,5474,3
21,9,38,1
21,205,242,1
21,649,686,1
21,1132,1157,1
21,1620,1660,2
21,2015,2045,2
21,2218,2260,2
21,3160,3253,2
21,4310,4384,4
21,4743,4795,4
21,5223,5321,4
21,5580,5666,4
21,6045,6107,3
21,6439,6493,3
21,6980,7041,3
21,7345,7393,3
23,159,203,1
23,354,395,1
23,666,700,1
23,1031,1064,1
23,1608,1643,2
23,1923,1958,2
23,2109,2145,2
23,2506,2537,2
23,2947,2997,4
23,3245,3291,4
23,3973,4032,4
23,4295,4347,4
23,4724,4767,3
23,5003,5050,3
23,5359,5403,3
24,15,66,1
24,1331,1380,1
24,2056,2096,1
24,2450,2486,1
24,3070,3114,2
24,3461,3493,2
24,3683,3723,2
24,4183,4210,2
24,4657,4709,4
24,5003,5041,4
24,5515,5554,4
24,5761,5802,4
24,6170,6218,3
24,6535,6586,3
24,6894,6938,3
24,7115,7159,3
26,70,145,1
26,334,379,1
26,827,919,1
26,1932,1985,1
26,2424,2459,2
26,2850,2893,2
26,3135,3188,2
26,3573,3621,2
26,4029,4074,4
26,4599,4676,4
26,5338,5399,4
26,5684,5740,4
26,6056,6108,3
26,6535,6582,3
26,7143,7193,3
26,7420,7466,3
27,9,35,1
27,158,193,1
27,430,498,1
27,1011,1061,1
27,1523,1568,2
27,1810,1837,2
27,1943,1978,2
27,2250,2302,2
27,2753,2806,4
27,3024,3057,4
27,3290,3341,4
27,3590,3640,4
27,3977,4032,3
27,4288,4342,3
27,4576,4630,3
27,5020,5042,3
28,140,182,1
28,366,422,1
28,1027,1076,1
28,1462,1503,1
28,2092,2138,2
28,2450,2490,2
28,2648,2690,2
28,3075,3114,2
28,3542,3628,4
28,4002,4066,4
28,4437,4508,4
28,4730,4800,4
28,5090,5162,3
28,5443,5511,3
28,5806,5850,3
28,6088,6155,3
29,138,180,1
29,348,382,1
29,580,625,1
29,924,955,1
29,1300,1332,2
29,2110,2135,2
29,2746,2800,4
29,2988,3029,4
29,3434,3474,4
29,3666,3700,4
29,4415,4458,3
29,4640,4680,3
29,4874,4906,3
0,116,156,1
0,281,327,2
0,575,656,4
0,1028,1069,3
0,1342,1381,1
0,1641,1667,2
0,1843,1887,4
0,2211,2275,3
0,2606,2644,1
0,3426,3469,2
0,3812,3874,4
0,4144,4220,3
0,4469,4510,1
0,4805,4842,2
0,5188,5249,3
0,5426,5470,4
1,576,639,2
1,961,1051,4
1,1364,1452,3
1,1781,1828,1
1,2135,2185,2
1,2339,2420,4
1,2852,2905,3
1,3320,3364,1
1,4018,4068,2
1,4832,4900,3
1,5185,5231,1
1,5601,5639,2
1,5971,6040,4
1,6229,6287,3
2,184,246,1
2,392,460,2
2,1770,1876,4
2,2458,2612,3
2,3446,3508,1
2,4051,4112,2
2,4318,4437,4
2,5657,5706,1
2,6296,6355,2
2,6805,6887,4
2,7113,7202,3
2,7434,7480,1
2,8055,8113,2
2,8786,8869,4
3,130,165,1
3,338,385,2
3,979,1064,4
3,1339,1418,3
3,1707,1760,1
3,2052,2111,2
3,2293,2369,4
3,2655,2734,3
3,2975,3026,1
3,3502,3544,2
3,3948,4003,4
3,4185,4240,3
3,4434,4479,1
3,4873,4916,2
3,5275,5330,4
3,5500,5543,3
4,259,308,1
4,459,505,2
4,951,1013,4
4,1461,1519,3
4,2059,2090,1
4,2488,2524,2
4,2751,2802,4
4,3308,3352,3
4,3898,3934,1
4,4746,4775,2
4,5295,5349,4
4,5571,5620,3
4,5807,5845,1
4,6269,6301,2
4,6721,6765,4
4,6971,7015,3
5,231,261,1
5,407,440,2
5,772,808,4
5,1108,1143,3
5,2052,2081,1
5,2351,2386,2
5,2565,2604,4
5,2877,2915,3
5,3290,3323,1
5,3549,3579,2
5,3854,3885,4
5,4659,4701,3
5,5088,5120,1
5,5459,5490,2
5,5902,5930,4
5,6133,6165,3
6,171,236,1
6,427,464,2
6,954,1102,4
6,1578,1663,3
6,2339,2398,1
6,3002,3044,2
6,3207,3278,4
6,3790,3886,3
6,4388,4448,1
6,4978,5022,2
6,5630,5705,4
6,6200,6277,3
6,6655,6691,1
6,6951,6995,2
6,7356,7414,4
6,7547,7606,3
7,106,131,1
7,411,445,2
7,897,947,4
7,1239,1274,3
7,1759,1790,1
7,2057,2098,2
7,2293,2349,4
7,2745,2786,3
7,3353,3379,1
7,3733,3768,2
7,4216,4262,4
7,4516,4555,3
7,4836,4862,1
7,5212,5247,2
7,5662,5711,4
7,5860,5899,3
8,114,146,1
8,331,355,2
8,1017,1051,4
8,1864,1898,3
8,2231,2252,1
8,2464,2493,2
8,2684,2729,4
8,3840,3875,3
8,4272,4298,1
8,4607,4636,2
8,5702,5735,4
8,6011,6044,3
8,6397,6418,1
8,6685,6710,2
8,7004,7031,4
8,7266,7296,3
9,274,305,1
9,571,611,2
9,1072,1117,4
9,1465,1511,3
9,2051,2085,1
9,2377,2407,2
9,2570,2622,4
9,2919,2955,3
9,3543,3570,1
9,3849,3910,2
9,4234,4288,4
9,4518,4558,3
9,4837,4868,1
9,5211,5245,2
9,5558,5605,4
9,5794,5837,3
10,130,157,1
10,317,346,2
10,920,968,4
10,1331,1395,3
10,1893,1918,1
10,2190,2219,2
10,2454,2495,4
10,2841,2893,3
10,4213,4243,2
10,4705,4750,3
10,5150,5195,4
10,5499,5530,1
10,5902,5932,2
10,6317,6371,4
10,6594,6628,3
11,254,283,1
11,468,496,2
11,850,892,4
11,1220,1270,3
11,1850,1887,1
11,2248,2280,2
11,2495,2545,4
11,3041,3088,3
11,3621,3651,1
11,4055,4088,2
11,4554,4623,4
11,4872,4928,3
11,5480,5516,1
11,5834,5868,2
11,6278,6340,4
11,6592,6639,3
12,162,198,1
12,371,415,2
12,939,1015,4
12,1459,1519,3
12,2293,2320,1
12,2657,2701,2
12,2926,2992,4
12,3439,3485,3
12,4044,4091,1
12,4503,4534,2
12,5037,5095,4
12,5428,5468,3
12,5810,5842,1
12,6333,6365,2
12,7198,7240,3
12,7662,7687,4
13,115,164,1
13,290,333,2
13,686,737,4
13,1048,1095,3
13,1478,1502,1
13,1809,1840,2
13,2023,2075,4
13,2380,2425,3
13,2731,2758,1
13,3028,3062,2
13,3393,3440,4
13,3646,3697,3
13,3996,4025,1
13,4276,4315,2
13,4624,4663,4
13,4877,4926,3
14,118,146,1
14,566,605,2
14,975,1038,4
14,1467,1527,3
14,2020,2050,1
14,2363,2399,2
14,2620,2674,4
14,3021,3083,3
14,3562,3580,1
14,3921,3953,2
14,4685,4736,4
14,5105,5176,3
14,5566,5593,1
14,5981,6019,2
14,6491,6538,4
14,6755,6809,3
15,117,148,1
15,324,355,2
15,623,672,4
15,975,1014,3
15,1369,1404,1
15,1669,1707,2
15,1832,1884,4
15,2177,2215,3
15,2574,2601,1
15,2900,2930,2
15,3240,3287,4
15,3468,3503,3
15,3769,3797,1
15,4144,4176,2
15,4584,4629,4
15,4789,4834,3
16,258,289,1
16,419,452,2
16,806,862,4
16,1182,1220,3
16,1530,1565,1
16,1796,1840,2
16,2030,2084,4
16,2416,2452,3
16,2872,2910,1
16,3189,3224,2
16,3579,3623,4
16,3816,3857,3
16,4460,4490,1
16,4750,4882,2
16,5216,5259,4
16,5434,5482,3
17,242,272,1
17,451,479,2
17,1015,1098,4
17,1620,1671,3
17,2271,2301,1
17,2637,2682,2
17,2887,2940,4
17,3382,3434,3
17,3916,3965,1
17,4282,4323,2
17,4723,4773,4
17,5005,5043,3
17,5415,5444,1
17,5809,5868,2
17,6295,6339,4
17,6567,6607,3
18,147,178,1
18,316,354,2
18,893,947,4
18,1219,1264,3
18,1804,1840,1
18,2068,2105,2
18,2532,2584,4
18,2902,2941,3
18,3324,3348,1
18,3760,3790,2
18,4135,4175,4
18,4418,4462,3
18,4781,4807,1
18,5088,5123,2
18,5407,5448,4
18,5636,5678,3
19,209,241,1
19,439,475,2
19,913,956,4
19,1369,1411,3
19,1857,1885,1
19,2158,2188,2
19,2359,2403,4
19,2822,2871,3
19,3283,3324,1
19,3878,3907,2
19,4285,4334,4
19,4599,4643,3
19,5039,5092,1
19,5372,5397,2
19,5773,5810,4
19,6051,6102,3
20,214,250,1
20,419,457,2
20,777,831,4
20,1203,1259,3
20,1730,1755,1
20,2000,2030,2
20,2198,2265,4
20,2545,2593,3
20,3215,3242,1
20,3560,3585,2
20,4005,4047,4
20,4307,4346,3
20,4683,4708,1
20,4966,4996,2
20,5306,5340,3
20,5529,5567,4
21,116,157,1
21,309,369,2
21,760,840,4
21,1236,1307,3
21,1738,1779,1
21,2100,2144,2
21,2327,2397,4
21,3320,3380,3
21,4461,4500,1
21,4861,4902,2
21,5395,5465,4
21,5727,5818,3
21,6178,6215,1
21,6566,6610,2
21,7110,7165,3
21,7465,7544,4
23,248,288,1
23,441,480,2
23,746,806,4
23,1108,1153,3
23,1688,1729,1
23,1991,2030,2
23,2180,2237,4
23,2569,2616,3
23,3036,3071,1
23,3335,3374,2
23,4080,4146,4
23,4389,4442,3
23,4818,4858,1
23,5088,5129,2
23,5446,5510,3
24,141,180,1
24,1435,1469,2
24,2152,2208,4
24,2537,2584,3
24,3170,3201,1
24,3533,3568,2
24,3770,3828,4
24,4251,4297,3
24,4764,4796,1
24,5080,5112,2
24,5596,5638,4
24,5840,5884,3
24,6258,6288,1
24,6625,6657,2
24,6969,7001,3
24,7199,7234,4
26,216,250,1
26,445,485,2
26,983,1045,4
26,2045,2111,3
26,2534,2570,1
26,2938,2985,2
26,3240,3284,4
26,3674,3729,3
26,4152,4187,1
26,4755,4802,2
26,5454,5507,4
26,5801,5862,3
26,6174,6206,1
26,6647,6690,2
26,7254,7302,4
26,7521,7574,3
27,84,120,1
27,246,285,2
27,544,613,4
27,1101,1204,3
27,1620,1653,1
27,1873,1915,2
27,2019,2100,4
27,2345,2405,3
27,2859,2888,1
27,3110,3148,2
27,3392,3476,4
27,3681,3735,3
27,4079,4107,1
27,4389,4426,2
27,4686,4754,3
27,5080,5136,4
28,281,325,1
28,516,578,2
28,1178,1257,4
28,1578,1646,3
28,2207,2246,1
28,2551,2589,2
28,2756,2833,4
28,3167,3244,3
28,3707,3745,1
28,4119,4163,2
28,4572,4646,4
28,4849,4923,3
28,5234,5287,1
28,5564,5618,2
28,5909,6000,3
28,6221,6304,4
29,256,300,1
29,435,480,2
29,689,770,4
29,1007,1053,3
29,1378,1424,1
29,2174,2216,3
29,2840,2870,1
29,3061,3092,2
29,3522,3570,4
29,3734,3783,3
29,4496,4528,1
29,4721,4751,2
29,4946,4978,3
0,66,110,0
0,239,275,0
0,542,570,0
0,962,1022,0
0,1301,1337,0
0,1597,1635,0
0,1796,1837,0
0,2178,2205,0
0,2567,2600,0
0,3395,3420,0
0,3783,3806,0
0,4120,4138,0
0,4401,4463,0
0,4772,4799,0
0,5156,5182,0
0,5396,5420,0
1,544,570,0
1,918,955,0
1,1327,1358,0
1,1728,1775,0
1,2108,2129,0
1,2295,2333,0
1,2810,2846,0
1,3261,3314,0
1,3985,4012,0
1,4799,4826,0
1,5125,5179,0
1,5572,5595,0
1,5936,5965,0
1,6193,6223,0
2,133,178,0
2,373,386,0
2,1739,1764,0
2,2377,2452,0
2,3404,3440,0
2,4032,4045,0
2,4296,4312,0
2,5566,5651,0
2,6198,6290,0
2,6774,6799,0
2,7101,7107,0
2,7397,7428,0
2,8027,8049,0
2,8751,8780,0
3,75,124,0
3,301,332,0
3,946,973,0
3,1311,1333,0
3,1681,1701,0
3,2032,2046,0
3,2256,2287,0
3,2629,2649,0
3,2895,2969,0
3,3463,3496,0
3,3913,3942,0
3,4144,4179,0
3,4377,4428,0
3,4832,4867,0
3,5240,5269,0
3,5470,5494,0
4,186,253,0
4,394,453,0
4,860,945,0
4,1414,1455,0
4,1994,2053,0
4,2431,2482,0
4,2706,2745,0
4,3258,3302,0
4,3833,3892,0
4,4695,4740,0
4,5248,5289,0
4,5512,5565,0
4,5743,5801,0
4,6210,6263,0
4,6656,6715,0
4,6935,6965,0
5,160,225,0
5,346,401,0
5,721,766,0
5,1070,1102,0
5,2011,2046,0
5,2319,2345,0
5,2537,2559,0
5,2842,2871,0
5,3253,3284,0
5,3517,3543,0
5,3820,3848,0
5,4624,4653,0
5,5053,5082,0
5,5422,5453,0
5,5864,5896,0
5,6090,6127,0
6,92,165,0
6,373,421,0
6,886,948,0
6,1514,1572,0
6,2261,2333,0
6,2951,2996,0
6,3136,3201,0
6,3736,3784,0
6,4313,4382,0
6,4925,4972,0
6,5466,5624,0
6,6136,6194,0
6,6601,6649,0
6,6905,6945,0
6,7312,7350,0
6,7509,7541,0
7,46,100,0
7,353,405,0
7,835,891,0
7,1185,1233,0
7,1716,1753,0
7,2021,2051,0
7,2250,2287,0
7,2698,2739,0
7,3298,3347,0
7,3704,3727,0
7,4165,4210,0
7,4472,4510,0
7,4788,4830,0
7,5171,5206,0
7,5614,5656,0
7,5813,5854,0
8,65,108,0
8,291,325,0
8,971,1011,0
8,1822,1858,0
8,2198,2225,0
8,2444,2458,0
8,2630,2678,0
8,3800,3834,0
8,4242,4266,0
8,4583,4601,0
8,5636,5696,0
8,5976,6005,0
8,6344,6391,0
8,6642,6679,0
8,6966,6998,0
8,7215,7260,0
9,197,268,0
9,514,565,0
9,1026,1066,0
9,1412,1459,0
9,2008,2045,0
9,2333,2371,0
9,2528,2564,0
9,2877,2913,0
9,3480,3537,0
9,3806,3843,0
9,4186,4228,0
9,4463,4512,0
9,4794,4831,0
9,5172,5205,0
9,5517,5552,0
9,5744,5788,0
10,73,124,0
10,261,311,0
10,873,914,0
10,1288,1325,0
10,1830,1887,0
10,2153,2184,0
10,2396,2448,0
10,2798,2835,0
10,4084,4207,0
10,4657,4699,0
10,5094,5144,0
10,5432,5493,0
10,5859,5896,0
10,6279,6311,0
10,6547,6588,0
11,181,248,0
11,407,462,0
11,790,844,0
11,1154,1214,0
11,1796,1844,0
11,2204,2242,0
11,2426,2489,0
11,2980,3035,0
11,3549,3615,0
11,3978,4049,0
11,4477,4548,0
11,4796,4866,0
11,5401,5474,0
11,5769,5828,0
11,6201,6272,0
11,6523,6586,0
12,87,156,0
12,312,365,0
12,879,933,0
12,1402,1453,0
12,2239,2287,0
12,2623,2651,0
12,2859,2920,0
12,3391,3433,0
12,3989,4038,0
12,4406,4497,0
12,4981,5031,0
12,5378,5422,0
12,5743,5804,0
12,6291,6327,0
12,7144,7192,0
12,7604,7656,0
13,58,109,0
13,240,284,0
13,531,680,0
13,999,1042,0
13,1426,1472,0
13,1776,1803,0
13,1988,2017,0
13,2329,2374,0
13,2673,2725,0
13,2978,3022,0
13,3351,3387,0
13,3601,3640,0
13,3951,3990,0
13,4238,4270,0
13,4577,4618,0
13,4837,4871,0
14,63,112,0
14,523,560,0
14,903,969,0
14,1438,1461,0
14,1981,2014,0
14,2339,2357,0
14,2596,2614,0
14,2996,3015,0
14,3505,3556,0
14,3885,3915,0
14,4646,4679,0
14,5055,5099,0
14,5513,5560,0
14,5941,5975,0
14,6445,6485,0
14,6701,6749,0
15,56,111,0
15,269,318,0
15,573,617,0
15,939,959,0
15,1314,1363,0
15,1636,1663,0
15,1801,1826,0
15,2135,2171,0
15,2502,2568,0
15,2855,2894,0
15,3201,3234,0
15,3421,3462,0
15,3708,3763,0
15,4102,4138,0
15,4528,4578,0
15,4743,4783,0
16,179,252,0
16,367,413,0
16,728,800,0
16,1143,1176,0
16,1477,1524,0
16,1758,1790,0
16,1980,2024,0
16,2374,2410,0
16,2802,2866,0
16,3121,3183,0
16,3506,3573,0
16,3766,3810,0
16,4401,4454,0
16,4700,4744,0
16,5158,5210,0
16,5379,5428,0
17,181,236,0
17,400,445,0
17,954,1009,0
17,1559,1614,0
17,2205,2265,0
17,2590,2631,0
17,2837,2881,0
17,3329,3376,0
17,3850,3910,0
17,4228,4276,0
17,4671,4717,0
17,4946,4999,0
17,5354,5409,0
17,5763,5803,0
17,6226,6289,0
17,6519,6561,0
18,102,141,0
18,281,310,0
18,855,887,0
18,1181,1213,0
18,1770,1798,0
18,2044,2062,0
18,2499,2526,0
18,2871,2896,0
18,3273,3318,0
18,3714,3754,0
18,4089,4129,0
18,4370,4412,0
18,4734,4775,0
18,5052,5082,0
18,5370,5401,0
18,5597,5630,0
19,89,203,0
19,312,433,0
19,812,907,0
19,1297,1363,0
19,1800,1851,0
19,2109,2152,0
19,2294,2353,0
19,2767,2816,0
19,3221,3277,0
19,3792,3872,0
19,4243,4279,0
19,4523,4593,0
19,4968,5033,0
19,5309,5366,0
19,5699,5767,0
19,5975,6045,0
20,147,208,0
20,343,413,0
20,718,771,0
20,1147,1197,0
20,1673,1724,0
20,1958,1994,0
20,2145,2192,0
20,2488,2539,0
20,3117,3209,0
20,3506,3554,0
20,3947,3999,0
20,4244,4301,0
20,4623,4677,0
20,4917,4960,0
20,5260,5300,0
20,5480,5523,0
21,44,110,0
21,248,303,0
21,692,754,0
21,1163,1230,0
21,1666,1732,0
21,2051,2094,0
21,2266,2321,0
21,3259,3314,0
21,4390,4455,0
21,4801,4855,0
21,5327,5389,0
21,5672,5721,0
21,6113,6172,0
21,6499,6560,0
21,7047,7104,0
21,7399,7459,0
23,209,242,0
23,401,435,0
23,706,740,0
23,1068,1102,0
23,1649,1682,0
23,1964,1985,0
23,2151,2174,0
23,2543,2563,0
23,3003,3030,0
23,3297,3329,0
23,4038,4074,0
23,4353,4383,0
23,4773,4812,0
23,5056,5082,0
23,5409,5440,0
24,72,135,0
24,1386,1429,0
24,2102,2146,0
24,2492,2531,0
24,3120,3164,0
24,3499,3527,0
24,3729,3764,0
24,4216,4245,0
24,4715,4758,0
24,5047,5074,0
24,5560,5590,0
24,5808,5834,0
24,6224,6252,0
24,6592,6619,0
24,6944,6963,0
24,7165,7193,0
26,151,210,0
26,397,439,0
26,925,977,0
26,1991,2039,0
26,2465,2528,0
26,2899,2932,0
26,3194,3234,0
26,3627,3668,0
26,4080,4146,0
26,4682,4749,0
26,5405,5448,0
26,5746,5795,0
26,6114,6168,0
26,6588,6641,0
26,7199,7248,0
26,7472,7515,0
27,41,78,0
27,199,240,0
27,504,538,0
27,1067,1095,0
27,1574,1614,0
27,1843,1867,0
27,1984,2013,0
27,2308,2339,0
27,2812,2853,0
27,3063,3104,0
27,3347,3386,0
27,3646,3675,0
27,4038,4073,0
27,4348,4383,0
27,4636,4680,0
27,5048,5074,0
28,188,275,0
28,428,510,0
28,1082,1172,0
28,1508,1572,0
28,2144,2201,0
28,2496,2545,0
28,2696,2750,0
28,3120,3161,0
28,3634,3701,0
28,4072,4113,0
28,4514,4566,0
28,4806,4843,0
28,5168,5228,0
28,5517,5558,0
28,5856,5903,0
28,6161,6215,0
29,186,250,0
29,388,429,0
29,631,683,0
29,961,1001,0
29,1338,1371,0
29,2141,2168,0
29,2806,2834,0
29,3035,3055,0
29,3480,3516,0
29,3706,3728,0
29,4464,4490,0
29,4686,4715,0
29,4912,4940,0
0,160,190,0
0,330,350,0
0,734,790,0
0,1668,1760,0
0,1908,1948,0
0,2046,2130,0
0,3610,3700,0
0,5480,5530,0
1,124,286,0
1,286,360,0
1,3044,3098,0
1,3816,3904,0
1,4926,5000,0
2,248,310,0
2,594,690,0
2,799,850,0
2,2000,2060,0
2,2118,2316,0
2,3216,3270,0
2,3780,3918,0
2,4118,4190,0
2,6626,6685,0
3,522,614,0
3,740,780,0
3,1764,1798,0
3,4010,4058,0
3,4260,4310,0
4,506,538,0
4,1023,1056,0
4,1164,1200,0
4,1258,1360,0
4,1284,1350,0
4,1820,1900,0
4,1900,1944,0
4,2554,2660,0
4,3014,3174,0
4,3546,3676,0
4,4204,4314,0
4,4786,4842,0
5,24,86,0
5,464,486,0
5,3606,3644,0
5,4718,4990,0
6,4568,4650,0
7,138,224,0
7,456,508,0
7,1316,1400,0
7,2794,2964,0
7,2966,3160,0
7,4568,4710,0
7,4864,4928,0
